id,Name,Height(m),Weight{kg},HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Type_1,Type_2,Is_Legendary,Is_Mythical,Egg_Group_1,Egg_Group_2,Generation,Capture_Rate,Base_Happiness,Is_Baby,Egg_Cycles,Past_Type,Is_Pseudo_Legendary,Total_Stats
1,Bulbasaur,0.7,6.9,45,49,49,65,65,45,Grass,Poison,FALSE,FALSE,Monster,Plant,Gen-1,45,70,FALSE,20,,FALSE,318
2,Ivysaur,1,13,60,62,63,80,80,60,Grass,Poison,FALSE,FALSE,Monster,Plant,Gen-1,45,70,FALSE,20,,FALSE,405
3,Venusaur,2,100,80,82,83,100,100,80,Grass,Poison,FALSE,FALSE,Monster,Plant,Gen-1,45,70,FALSE,20,,FALSE,525
4,Charmander,0.6,8.5,39,52,43,60,50,65,Fire,,FALSE,FALSE,Monster,Dragon,Gen-1,45,70,FALSE,20,,FALSE,309
5,Charmeleon,1.1,19,58,64,58,80,65,80,Fire,,FALSE,FALSE,Monster,Dragon,Gen-1,45,70,FALSE,20,,FALSE,405
6,Charizard,1.7,90.5,78,84,78,109,85,100,Fire,Flying,FALSE,FALSE,Monster,Dragon,Gen-1,45,70,FALSE,20,,FALSE,534
7,Squirtle,0.5,9,44,48,65,50,64,43,Water,,FALSE,FALSE,Monster,Water1,Gen-1,45,70,FALSE,20,,FALSE,314
8,Wartortle,1,22.5,59,63,80,65,80,58,Water,,FALSE,FALSE,Monster,Water1,Gen-1,45,70,FALSE,20,,FALSE,405
9,Blastoise,1.6,85.5,79,83,100,85,105,78,Water,,FALSE,FALSE,Monster,Water1,Gen-1,45,70,FALSE,20,,FALSE,530
10,Caterpie,0.3,2.9,45,30,35,20,20,45,Bug,,FALSE,FALSE,Bug,,Gen-1,255,70,FALSE,15,,FALSE,195
11,Metapod,0.7,9.9,50,20,55,25,25,30,Bug,,FALSE,FALSE,Bug,,Gen-1,120,70,FALSE,15,,FALSE,205
12,Butterfree,1.1,32,60,45,50,90,80,70,Bug,Flying,FALSE,FALSE,Bug,,Gen-1,45,70,FALSE,15,,FALSE,395
13,Weedle,0.3,3.2,40,35,30,20,20,50,Bug,Poison,FALSE,FALSE,Bug,,Gen-1,255,70,FALSE,15,,FALSE,195
