epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,257.6,0.62557,0.95647,0.99235,0.1776,2.16576e-05,2.16576e-05,2.16576e-05
2,478.47,0.52577,0.95471,0.99235,0.17137,4.30179e-05,4.30179e-05,4.30179e-05
3,695.66,0.47354,0.96265,0.99265,0.14819,6.41387e-05,6.41387e-05,6.41387e-05
4,905.161,0.42358,0.96588,0.99441,0.13038,6.37625e-05,6.37625e-05,6.37625e-05
5,1114.89,0.36958,0.96382,0.99441,0.12432,6.33811e-05,6.33811e-05,6.33811e-05
6,1324.38,0.33167,0.97412,0.99471,0.11366,6.30139e-05,6.30139e-05,6.30139e-05
7,1531.97,0.2991,0.97118,0.99471,0.10797,6.26457e-05,6.26457e-05,6.26457e-05
8,1738.85,0.26993,0.97324,0.99618,0.10487,6.227e-05,6.227e-05,6.227e-05
9,1946,0.24513,0.97412,0.995,0.09262,6.18988e-05,6.18988e-05,6.18988e-05
10,2152.53,0.23011,0.97735,0.99559,0.09417,6.1532e-05,6.1532e-05,6.1532e-05
11,2361.05,0.2161,0.97647,0.99588,0.08558,6.11696e-05,6.11696e-05,6.11696e-05
12,2551.95,0.18652,0.97618,0.99706,0.08656,6.07866e-05,6.07866e-05,6.07866e-05
13,2742.03,0.1824,0.97735,0.99676,0.07985,6.04576e-05,6.04576e-05,6.04576e-05
14,2932.64,0.17925,0.97941,0.99765,0.07835,6.01079e-05,6.01079e-05,6.01079e-05
15,3122.78,0.15969,0.97941,0.99706,0.07495,5.97622e-05,5.97622e-05,5.97622e-05
16,3312.27,0.15919,0.98176,0.99735,0.07345,5.94205e-05,5.94205e-05,5.94205e-05
17,3501.72,0.14921,0.98206,0.99794,0.07053,5.90828e-05,5.90828e-05,5.90828e-05
18,3691.27,0.14938,0.98029,0.99824,0.07065,5.87489e-05,5.87489e-05,5.87489e-05
19,3881.04,0.12954,0.98235,0.99765,0.0675,5.84187e-05,5.84187e-05,5.84187e-05
20,4077.46,0.12836,0.98235,0.99706,0.07166,5.80924e-05,5.80924e-05,5.80924e-05
21,4270.68,0.12833,0.98294,0.99735,0.06705,5.77288e-05,5.77288e-05,5.77288e-05
22,4460.39,0.11672,0.98353,0.99735,0.06411,5.74081e-05,5.74081e-05,5.74081e-05
23,4649.78,0.11698,0.98265,0.99676,0.06166,5.70466e-05,5.70466e-05,5.70466e-05
24,4839.16,0.11057,0.98294,0.99765,0.06574,5.67316e-05,5.67316e-05,5.67316e-05
25,5028.71,0.10679,0.98294,0.99794,0.06343,5.63721e-05,5.63721e-05,5.63721e-05
26,5218.36,0.10316,0.98206,0.99765,0.06491,5.60126e-05,5.60126e-05,5.60126e-05
27,5408.05,0.09949,0.98294,0.99706,0.06513,5.5705e-05,5.5705e-05,5.5705e-05
28,5597.75,0.09591,0.98294,0.99735,0.06332,5.53475e-05,5.53475e-05,5.53475e-05
29,5787.28,0.09277,0.98471,0.99794,0.06325,5.50453e-05,5.50453e-05,5.50453e-05
30,5976.76,0.08617,0.98471,0.99794,0.0642,5.46898e-05,5.46898e-05,5.46898e-05
31,6166.54,0.08503,0.985,0.99824,0.06177,5.43343e-05,5.43343e-05,5.43343e-05
32,6356.13,0.0853,0.985,0.99794,0.06421,5.39787e-05,5.39787e-05,5.39787e-05
33,6545.5,0.08143,0.98588,0.99824,0.06379,5.36857e-05,5.36857e-05,5.36857e-05
34,6734.97,0.08212,0.98471,0.99824,0.06379,5.33321e-05,5.33321e-05,5.33321e-05
35,6924.43,0.07171,0.98529,0.99735,0.06269,5.29786e-05,5.29786e-05,5.29786e-05
36,7113.91,0.07604,0.98529,0.99794,0.06357,5.2625e-05,5.2625e-05,5.2625e-05
37,7303.47,0.07317,0.98382,0.99794,0.06139,5.2341e-05,5.2341e-05,5.2341e-05
38,7492.95,0.07082,0.98441,0.99853,0.0598,5.19893e-05,5.19893e-05,5.19893e-05
39,7682.32,0.07299,0.98706,0.99824,0.06031,5.16377e-05,5.16377e-05,5.16377e-05
40,7871.79,0.06923,0.98676,0.99794,0.05829,5.12861e-05,5.12861e-05,5.12861e-05
41,8061.6,0.06908,0.98676,0.99794,0.0585,5.09344e-05,5.09344e-05,5.09344e-05
42,8251.1,0.0681,0.98794,0.99824,0.05761,5.06611e-05,5.06611e-05,5.06611e-05
43,8440.78,0.06148,0.98676,0.99794,0.05741,5.03114e-05,5.03114e-05,5.03114e-05
44,8629.98,0.0631,0.98706,0.99794,0.05686,4.99617e-05,4.99617e-05,4.99617e-05
45,8819.29,0.06171,0.98735,0.99794,0.05604,4.9612e-05,4.9612e-05,4.9612e-05
46,9008.81,0.05712,0.98765,0.99765,0.05591,4.92622e-05,4.92622e-05,4.92622e-05
47,9198.3,0.0587,0.98765,0.99794,0.0545,4.89125e-05,4.89125e-05,4.89125e-05
48,9387.65,0.05704,0.98765,0.99794,0.05427,4.85628e-05,4.85628e-05,4.85628e-05
49,9577.01,0.05511,0.98735,0.99824,0.05444,4.83038e-05,4.83038e-05,4.83038e-05
50,9766.27,0.05796,0.98676,0.99853,0.05412,4.79559e-05,4.79559e-05,4.79559e-05
51,9955.89,0.05164,0.98735,0.99853,0.05386,4.76081e-05,4.76081e-05,4.76081e-05
52,10145.5,0.05287,0.98706,0.99853,0.05341,4.72603e-05,4.72603e-05,4.72603e-05
53,10334.9,0.05179,0.98735,0.99853,0.05405,4.69124e-05,4.69124e-05,4.69124e-05
54,10524.8,0.05374,0.98676,0.99853,0.05313,4.65646e-05,4.65646e-05,4.65646e-05
55,10714.1,0.04976,0.98706,0.99853,0.0528,4.62168e-05,4.62168e-05,4.62168e-05
56,10903.4,0.04635,0.98706,0.99853,0.05308,4.58689e-05,4.58689e-05,4.58689e-05
57,11092.8,0.04932,0.98765,0.99824,0.05289,4.55211e-05,4.55211e-05,4.55211e-05
58,11282.2,0.04593,0.98676,0.99824,0.05288,4.51732e-05,4.51732e-05,4.51732e-05
59,11471.6,0.04485,0.98765,0.99824,0.05421,4.49339e-05,4.49339e-05,4.49339e-05
60,11661.1,0.04629,0.98647,0.99824,0.05374,4.45879e-05,4.45879e-05,4.45879e-05
61,11850.4,0.04381,0.98647,0.99824,0.05279,4.42419e-05,4.42419e-05,4.42419e-05
62,12040,0.04568,0.98706,0.99824,0.05279,4.3896e-05,4.3896e-05,4.3896e-05
63,12229.4,0.04427,0.98676,0.99824,0.0528,4.355e-05,4.355e-05,4.355e-05
64,12418.6,0.04039,0.98676,0.99824,0.05295,4.3204e-05,4.3204e-05,4.3204e-05
65,12608.2,0.0371,0.98706,0.99824,0.0531,4.28581e-05,4.28581e-05,4.28581e-05
66,12797.5,0.03934,0.98706,0.99824,0.05324,4.25121e-05,4.25121e-05,4.25121e-05
67,12987.3,0.04066,0.98706,0.99824,0.05413,4.21661e-05,4.21661e-05,4.21661e-05
68,13176.9,0.03749,0.98706,0.99824,0.05323,4.18202e-05,4.18202e-05,4.18202e-05
69,13366.5,0.04122,0.98647,0.99824,0.05324,4.14742e-05,4.14742e-05,4.14742e-05
70,13556.2,0.03916,0.98706,0.99824,0.05319,4.11282e-05,4.11282e-05,4.11282e-05
71,13745.8,0.03854,0.98706,0.99824,0.0533,4.07823e-05,4.07823e-05,4.07823e-05
72,13936.1,0.03755,0.98676,0.99824,0.05338,4.04363e-05,4.04363e-05,4.04363e-05
73,14126.2,0.03999,0.98676,0.99824,0.05351,4.00903e-05,4.00903e-05,4.00903e-05
74,14315.8,0.03603,0.98676,0.99824,0.05361,3.98794e-05,3.98794e-05,3.98794e-05
75,14505.7,0.03828,0.98706,0.99824,0.05362,3.95353e-05,3.95353e-05,3.95353e-05
76,14695.2,0.03466,0.98676,0.99824,0.05381,3.91912e-05,3.91912e-05,3.91912e-05
77,14885,0.03428,0.98618,0.99824,0.05384,3.88471e-05,3.88471e-05,3.88471e-05
78,15074.7,0.03781,0.98618,0.99824,0.0539,3.85029e-05,3.85029e-05,3.85029e-05
79,15264.5,0.03558,0.98618,0.99824,0.05386,3.81588e-05,3.81588e-05,3.81588e-05
80,15453.9,0.03131,0.98647,0.99853,0.05401,3.78147e-05,3.78147e-05,3.78147e-05
81,15643.7,0.03021,0.98647,0.99853,0.05447,3.74706e-05,3.74706e-05,3.74706e-05
82,15833.6,0.03242,0.98647,0.99853,0.0543,3.71265e-05,3.71265e-05,3.71265e-05
83,16021.8,0.03693,0.98647,0.99853,0.0553,3.67824e-05,3.67824e-05,3.67824e-05
84,16211.5,0.034,0.98647,0.99853,0.05438,3.64382e-05,3.64382e-05,3.64382e-05
85,16401.1,0.03311,0.98647,0.99882,0.05435,3.60941e-05,3.60941e-05,3.60941e-05
86,16590.8,0.02845,0.98647,0.99882,0.05444,3.575e-05,3.575e-05,3.575e-05
87,16780.5,0.03481,0.98676,0.99882,0.05458,3.54059e-05,3.54059e-05,3.54059e-05
88,16970,0.03061,0.98706,0.99882,0.05472,3.50618e-05,3.50618e-05,3.50618e-05
89,17159.8,0.02853,0.98706,0.99882,0.05475,3.47176e-05,3.47176e-05,3.47176e-05
90,17349.6,0.02893,0.98676,0.99912,0.05473,3.43735e-05,3.43735e-05,3.43735e-05
91,17539.2,0.02741,0.98676,0.99912,0.05465,3.40294e-05,3.40294e-05,3.40294e-05
92,17728.7,0.02621,0.98676,0.99912,0.05471,3.36853e-05,3.36853e-05,3.36853e-05
93,17918.4,0.02691,0.98706,0.99912,0.05475,3.33412e-05,3.33412e-05,3.33412e-05
94,18109.3,0.02489,0.98676,0.99912,0.0548,3.29971e-05,3.29971e-05,3.29971e-05
95,18299,0.02619,0.98676,0.99912,0.05495,3.26529e-05,3.26529e-05,3.26529e-05
96,18488.6,0.02678,0.98676,0.99912,0.05505,3.23088e-05,3.23088e-05,3.23088e-05
97,18678.5,0.03026,0.98676,0.99912,0.05567,3.19647e-05,3.19647e-05,3.19647e-05
98,18868.2,0.02649,0.98706,0.99912,0.05516,3.16206e-05,3.16206e-05,3.16206e-05
99,19058.1,0.029,0.98706,0.99912,0.05526,3.12765e-05,3.12765e-05,3.12765e-05
100,19247.7,0.02658,0.98706,0.99912,0.05536,3.11136e-05,3.11136e-05,3.11136e-05
101,19437.3,0.02099,0.98794,0.99912,0.05551,3.07713e-05,3.07713e-05,3.07713e-05
102,19627.1,0.02549,0.98794,0.99912,0.0556,3.0429e-05,3.0429e-05,3.0429e-05
103,19816.8,0.02339,0.98765,0.99912,0.05568,3.00867e-05,3.00867e-05,3.00867e-05
104,20006.3,0.02763,0.98765,0.99912,0.05574,2.97444e-05,2.97444e-05,2.97444e-05
105,20196.1,0.02702,0.98765,0.99912,0.0558,2.94021e-05,2.94021e-05,2.94021e-05
106,20385.5,0.02469,0.98765,0.99912,0.05595,2.90598e-05,2.90598e-05,2.90598e-05
107,20576.3,0.02337,0.98765,0.99912,0.056,2.87176e-05,2.87176e-05,2.87176e-05
